"merchant","logoUrl"
"A-Grosik","http://img1.prosperent.com/images/brandlogos/120x60/A-Grosik.png"
"A-Line","http://img1.prosperent.com/images/brandlogos/120x60/A-Line.png"
"A-Power","http://img1.prosperent.com/images/brandlogos/120x60/A-Power.png"
"A-Zoom","http://img1.prosperent.com/images/brandlogos/120x60/A-Zoom.png"
"A. A. Importing","http://img1.prosperent.com/images/brandlogos/120x60/A.%20A.%20Importing.png"
"A. Joffe","http://img1.prosperent.com/images/brandlogos/120x60/A.%20Joffe.png"
"A. L. Ellis, Inc.","http://img1.prosperent.com/images/brandlogos/120x60/A.%20L.%20Ellis%2C%20Inc..png"
"A. Marinelli","http://img1.prosperent.com/images/brandlogos/120x60/A.%20Marinelli.png"
"A. Saks","http://img1.prosperent.com/images/brandlogos/120x60/A.%20Saks.png"
"A. Testoni","http://img1.prosperent.com/images/brandlogos/120x60/A.%20Testoni.png"
"A.Ch?","http://img1.prosperent.com/images/brandlogos/120x60/A.Ch%3F.png"
"A.D. Sutton & Sons","http://img1.prosperent.com/images/brandlogos/120x60/A.D.%20Sutton%20%26%20Sons.png"
"A.G.O.","http://img1.prosperent.com/images/brandlogos/120x60/A.G.O..png"
"A.J. Morgan","http://img1.prosperent.com/images/brandlogos/120x60/A.J.%20Morgan.png"
"A.L.C.","http://img1.prosperent.com/images/brandlogos/120x60/A.L.C..png"
"A.M.K. Magnetics","http://img1.prosperent.com/images/brandlogos/120x60/A.M.K.%20Magnetics.png"
"A.N.D.","http://img1.prosperent.com/images/brandlogos/120x60/A.N.D..png"
"A.O. Smith","http://img1.prosperent.com/images/brandlogos/120x60/A.O.%20Smith.png"
"A.p.c.","http://img1.prosperent.com/images/brandlogos/120x60/A.p.c..png"
"A.R.C.","http://img1.prosperent.com/images/brandlogos/120x60/A.R.C..png"
"A.R.M.S.","http://img1.prosperent.com/images/brandlogos/120x60/A.R.M.S..png"
"A.Saks","http://img1.prosperent.com/images/brandlogos/120x60/A.Saks.png"
"a.testoni","http://img1.prosperent.com/images/brandlogos/120x60/a.testoni.png"
"a.v. max","http://img1.prosperent.com/images/brandlogos/120x60/a.v.%20max.png"
"A1 Cardone","http://img1.prosperent.com/images/brandlogos/120x60/A1%20Cardone.png"
"A2","http://img1.prosperent.com/images/brandlogos/120x60/A2.png"
"A4","http://img1.prosperent.com/images/brandlogos/120x60/A4.png"
"A4Tech","http://img1.prosperent.com/images/brandlogos/120x60/A4Tech.png"
"AA Bridals","http://img1.prosperent.com/images/brandlogos/120x60/AA%20Bridals.png"
"AAA","http://img1.prosperent.com/images/brandlogos/120x60/AAA.png"
"AAmerica","http://img1.prosperent.com/images/brandlogos/120x60/AAmerica.png"
"AARCO","http://img1.prosperent.com/images/brandlogos/120x60/AARCO.png"
"Aarco Products","http://img1.prosperent.com/images/brandlogos/120x60/Aarco%20Products.png"
"Aaron Ashe","http://img1.prosperent.com/images/brandlogos/120x60/Aaron%20Ashe.png"
"Aaron Irvin","http://img1.prosperent.com/images/brandlogos/120x60/Aaron%20Irvin.png"
"AB Studio","http://img1.prosperent.com/images/brandlogos/120x60/AB%20Studio.png"
"abaltat","http://img1.prosperent.com/images/brandlogos/120x60/abaltat.png"
"Abandon","http://img1.prosperent.com/images/brandlogos/120x60/Abandon.png"
"ABBA","http://img1.prosperent.com/images/brandlogos/120x60/ABBA.png"
"Abbeline","http://img1.prosperent.com/images/brandlogos/120x60/Abbeline.png"
"Abbot & Main","http://img1.prosperent.com/images/brandlogos/120x60/Abbot%20%26%20Main.png"
"Abbot + Main","http://img1.prosperent.com/images/brandlogos/120x60/Abbot%20%2B%20Main.png"
"AbbyShot Clothiers","http://img1.prosperent.com/images/brandlogos/120x60/AbbyShot%20Clothiers.png"
"Abbyson","http://img1.prosperent.com/images/brandlogos/120x60/Abbyson.png"
"Abbyson Living","http://img1.prosperent.com/images/brandlogos/120x60/Abbyson%20Living.png"
"Abela Designs","http://img1.prosperent.com/images/brandlogos/120x60/Abela%20Designs.png"
"Abella","http://img1.prosperent.com/images/brandlogos/120x60/Abella.png"
"ABEO","http://img1.prosperent.com/images/brandlogos/120x60/ABEO.png"
"Abetta","http://img1.prosperent.com/images/brandlogos/120x60/Abetta.png"
"Abhiasmi","http://img1.prosperent.com/images/brandlogos/120x60/Abhiasmi.png"
"Abi Ferrin","http://img1.prosperent.com/images/brandlogos/120x60/Abi%20Ferrin.png"
"Abiie","http://img1.prosperent.com/images/brandlogos/120x60/Abiie.png"
"Abilene","http://img1.prosperent.com/images/brandlogos/120x60/Abilene.png"
"Able Planet","http://img1.prosperent.com/images/brandlogos/120x60/Able%20Planet.png"
"Able Vision","http://img1.prosperent.com/images/brandlogos/120x60/Able%20Vision.png"
"Ableton","http://img1.prosperent.com/images/brandlogos/120x60/Ableton.png"
"ABO Gear","http://img1.prosperent.com/images/brandlogos/120x60/ABO%20Gear.png"
"About A Girl","http://img1.prosperent.com/images/brandlogos/120x60/About%20A%20Girl.png"
"ABOUT KANNA","http://img1.prosperent.com/images/brandlogos/120x60/ABOUT%20KANNA.png"
"Above The Rim","http://img1.prosperent.com/images/brandlogos/120x60/Above%20The%20Rim.png"
"Abra Therapeutics","http://img1.prosperent.com/images/brandlogos/120x60/Abra%20Therapeutics.png"
"ABS","http://img1.prosperent.com/images/brandlogos/120x60/ABS.png"
"ABS Avalanche Rescue Devices","http://img1.prosperent.com/images/brandlogos/120x60/ABS%20Avalanche%20Rescue%20Devices.png"
"Absolute","http://img1.prosperent.com/images/brandlogos/120x60/Absolute.png"
"Absolute Decor","http://img1.prosperent.com/images/brandlogos/120x60/Absolute%20Decor.png"
"Absolute Nutrition","http://img1.prosperent.com/images/brandlogos/120x60/Absolute%20Nutrition.png"
"AbsolutHEAT","http://img1.prosperent.com/images/brandlogos/120x60/AbsolutHEAT.png"
"Abu Garcia","http://img1.prosperent.com/images/brandlogos/120x60/Abu%20Garcia.png"
"AC Delco","http://img1.prosperent.com/images/brandlogos/120x60/AC%20Delco.png"
"AC Pacific","http://img1.prosperent.com/images/brandlogos/120x60/AC%20Pacific.png"
"Acacia Swimwear","http://img1.prosperent.com/images/brandlogos/120x60/Acacia%20Swimwear.png"
"Academie","http://img1.prosperent.com/images/brandlogos/120x60/Academie.png"
"Academy","http://img1.prosperent.com/images/brandlogos/120x60/Academy.png"
"Academy Awards","http://img1.prosperent.com/images/brandlogos/120x60/Academy%20Awards.png"
"Acase","http://img1.prosperent.com/images/brandlogos/120x60/Acase.png"
"ACB by Annie Costello Brown","http://img1.prosperent.com/images/brandlogos/120x60/ACB%20by%20Annie%20Costello%20Brown.png"
"ACCEL","http://img1.prosperent.com/images/brandlogos/120x60/ACCEL.png"
"Accent Treasures","http://img1.prosperent.com/images/brandlogos/120x60/Accent%20Treasures.png"
"Accents Unlimited","http://img1.prosperent.com/images/brandlogos/120x60/Accents%20Unlimited.png"
"Access","http://img1.prosperent.com/images/brandlogos/120x60/Access.png"
"Access Lighting","http://img1.prosperent.com/images/brandlogos/120x60/Access%20Lighting.png"
"Access Lighting Corporation","http://img1.prosperent.com/images/brandlogos/120x60/Access%20Lighting%20Corporation.png"
"Access Tools","http://img1.prosperent.com/images/brandlogos/120x60/Access%20Tools.png"
"Accessories 22","http://img1.prosperent.com/images/brandlogos/120x60/Accessories%2022.png"
"Accessories 365 Luggage, Bags, & More","http://img1.prosperent.com/images/brandlogos/120x60/Accessories%20365%20Luggage%2C%20Bags%2C%20%26%20More.png"
"Accessories 365 Pets","http://img1.prosperent.com/images/brandlogos/120x60/Accessories%20365%20Pets.png"
"Accessories 365 Sunglasses","http://img1.prosperent.com/images/brandlogos/120x60/Accessories%20365%20Sunglasses.png"
"Accessories Plus","http://img1.prosperent.com/images/brandlogos/120x60/Accessories%20Plus.png"
"Accessory Exchange","http://img1.prosperent.com/images/brandlogos/120x60/Accessory%20Exchange.png"
